Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,42,1815.8700000000001
Furniture,Chairs,92,870.2400000000001
Furniture,Furnishings,104,742.4
Furniture,Tables,24,-1544.3999999999996
Office Supplies,Appliances,52,-284.61000000000007
Office Supplies,Art,115,462.52000000000004
Office Supplies,Binders,159,427.05000000000007
Office Supplies,Envelopes,39,108.85000000000001
Office Supplies,Fasteners,89,245.40999999999997
Office Supplies,Labels,52,47.500000000000014
Office Supplies,Paper,80,92.92999999999999
Office Supplies,Storage,115,1241.7399999999993
Office Supplies,Supplies,56,275.17999999999995
Technology,Accessories,68,845.4800000000002
Technology,Copiers,62,956.9099999999999
Technology,Machines,58,999.8499999999997
Technology,Phones,125,1972.6799999999998
