Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,107,674.81
Furniture,Chairs,289,803.9199999999998
Furniture,Furnishings,269,1070.7199999999996
Furniture,Tables,56,-1651.6600000000003
Office Supplies,Appliances,120,2942.5700000000006
Office Supplies,Art,314,1321.9500000000005
Office Supplies,Binders,496,1161.3099999999997
Office Supplies,Envelopes,154,802.3100000000001
Office Supplies,Fasteners,197,165.95000000000005
Office Supplies,Labels,150,267.67
Office Supplies,Paper,345,2077.750000000001
Office Supplies,Storage,322,2183.31
Office Supplies,Supplies,149,551.1700000000001
Technology,Accessories,183,2163.99
Technology,Copiers,186,2433.3999999999987
Technology,Machines,99,751.0100000000002
Technology,Phones,211,5596.900000000001
