Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,267,6734.1299999999965
Furniture,Chairs,348,3974.5799999999995
Furniture,Furnishings,326,1307.51
Furniture,Tables,84,-4753.990000000002
Office Supplies,Appliances,174,3855.9400000000023
Office Supplies,Art,551,1900.8299999999995
Office Supplies,Binders,653,1902.3400000000001
Office Supplies,Envelopes,269,694.76
Office Supplies,Fasteners,365,608.07
Office Supplies,Labels,367,502.63999999999993
Office Supplies,Paper,399,1858.5099999999998
Office Supplies,Storage,552,4214.38
Office Supplies,Supplies,284,609.8499999999999
Technology,Accessories,325,1902.8
Technology,Copiers,233,5257.379999999998
Technology,Machines,165,2290.7899999999995
Technology,Phones,386,6292.27
