Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,170,4229.37
Furniture,Chairs,230,2979.939999999999
Furniture,Furnishings,171,368.97
Furniture,Tables,58,463.7299999999998
Office Supplies,Appliances,104,370.56000000000006
Office Supplies,Art,279,1321.18
Office Supplies,Binders,344,825.89
Office Supplies,Envelopes,183,463.14
Office Supplies,Fasteners,231,182.84999999999997
Office Supplies,Labels,187,498.22999999999996
Office Supplies,Paper,231,989.54
Office Supplies,Storage,277,993.2099999999992
Office Supplies,Supplies,173,505.75
Technology,Accessories,226,2426.11
Technology,Copiers,148,3271.989999999999
Technology,Machines,104,2582.8200000000006
Technology,Phones,282,5920.619999999999
