Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,267,6734.129999999996
Furniture,Chairs,348,3974.5799999999986
Furniture,Furnishings,326,1307.5099999999993
Furniture,Tables,84,-4753.9900000000025
Office Supplies,Appliances,174,3855.940000000003
Office Supplies,Art,551,1900.8299999999988
Office Supplies,Binders,653,1902.3399999999992
Office Supplies,Envelopes,269,694.7600000000007
Office Supplies,Fasteners,365,608.0700000000005
Office Supplies,Labels,367,502.63999999999993
Office Supplies,Paper,399,1858.5099999999995
Office Supplies,Storage,552,4214.380000000001
Office Supplies,Supplies,284,609.8499999999998
Technology,Accessories,325,1902.8
Technology,Copiers,233,5257.379999999998
Technology,Machines,165,2290.789999999999
Technology,Phones,386,6292.269999999998
