Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,181,4549.1100000000015
Furniture,Chairs,309,3524.9299999999985
Furniture,Furnishings,338,1047.6899999999998
Furniture,Tables,97,-2100.48
Office Supplies,Appliances,207,1944.4000000000005
Office Supplies,Art,450,1744.6599999999994
Office Supplies,Binders,629,1468.980000000001
Office Supplies,Envelopes,221,708.5400000000001
Office Supplies,Fasteners,216,181.59000000000006
Office Supplies,Labels,376,486.5600000000001
Office Supplies,Paper,415,1572.6600000000003
Office Supplies,Storage,390,1023.1
Office Supplies,Supplies,200,396.4299999999998
Technology,Accessories,293,4375.349999999999
Technology,Copiers,243,5093.119999999999
Technology,Machines,172,1925.5500000000002
Technology,Phones,359,6990.190000000001
