Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,181,4549.1100000000015
Furniture,Chairs,309,3524.929999999999
Furniture,Furnishings,338,1047.69
Furniture,Tables,97,-2100.48
Office Supplies,Appliances,207,1944.4
Office Supplies,Art,450,1744.6599999999992
Office Supplies,Binders,629,1468.9799999999998
Office Supplies,Envelopes,221,708.5399999999998
Office Supplies,Fasteners,216,181.59000000000003
Office Supplies,Labels,376,486.56000000000006
Office Supplies,Paper,415,1572.66
Office Supplies,Storage,390,1023.0999999999999
Office Supplies,Supplies,200,396.43
Technology,Accessories,293,4375.3499999999985
Technology,Copiers,243,5093.119999999999
Technology,Machines,172,1925.5500000000004
Technology,Phones,359,6990.1900000000005
