Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,89,1359.4100000000003
Furniture,Chairs,125,1517.3199999999995
Furniture,Furnishings,117,403.61000000000007
Furniture,Tables,55,-2040.9399999999998
Office Supplies,Appliances,81,1221.32
Office Supplies,Art,224,797.6900000000002
Office Supplies,Binders,231,330.75
Office Supplies,Envelopes,76,176.65999999999997
Office Supplies,Fasteners,102,70.02
Office Supplies,Labels,75,146.38
Office Supplies,Paper,142,625.4100000000001
Office Supplies,Storage,189,992.27
Office Supplies,Supplies,89,162.72
Technology,Accessories,151,1846.98
Technology,Copiers,74,2385.36
Technology,Machines,58,655.5999999999999
Technology,Phones,171,2084.03
