Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,198,1559.1899999999998
Furniture,Chairs,330,3921.1900000000005
Furniture,Furnishings,236,828.72
Furniture,Tables,71,-370.44000000000017
Office Supplies,Appliances,134,4777.29
Office Supplies,Art,327,1054.3399999999997
Office Supplies,Binders,475,1644.3599999999997
Office Supplies,Envelopes,229,911.31
Office Supplies,Fasteners,186,258.27
Office Supplies,Labels,220,314.01000000000005
Office Supplies,Paper,329,1106.52
Office Supplies,Storage,405,3861.819999999999
Office Supplies,Supplies,277,779.0999999999998
Technology,Accessories,271,3337.459999999999
Technology,Copiers,141,4912.080000000002
Technology,Machines,80,725.0699999999997
Technology,Phones,252,2079.69
