Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,237,5297.059999999998
Furniture,Chairs,377,3314.55
Furniture,Furnishings,349,2272.3900000000003
Furniture,Tables,74,322.1000000000001
Office Supplies,Appliances,149,3759.7799999999997
Office Supplies,Art,418,1818.1199999999997
Office Supplies,Binders,673,1763.8799999999999
Office Supplies,Envelopes,241,1246.3599999999997
Office Supplies,Fasteners,289,449.7699999999999
Office Supplies,Labels,253,579.45
Office Supplies,Paper,367,1446.7900000000002
Office Supplies,Storage,576,4353.150000000001
Office Supplies,Supplies,239,973.1700000000001
Technology,Accessories,390,4872.349999999999
Technology,Copiers,220,7100.449999999999
Technology,Machines,99,-120.88999999999999
Technology,Phones,365,6532.71
