Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,215,3170.3900000000012
Furniture,Chairs,408,3460.3900000000017
Furniture,Furnishings,378,1266.6799999999998
Furniture,Tables,83,-768.3499999999999
Office Supplies,Appliances,179,3716.83
Office Supplies,Art,489,1762.4200000000003
Office Supplies,Binders,662,859.0800000000004
Office Supplies,Envelopes,214,717.4999999999998
Office Supplies,Fasteners,282,345.66999999999996
Office Supplies,Labels,245,177.43999999999994
Office Supplies,Paper,345,1624.7700000000004
Office Supplies,Storage,430,1441.3400000000001
Office Supplies,Supplies,227,410.54
Technology,Accessories,298,3597.4799999999996
Technology,Copiers,164,4663.419999999999
Technology,Machines,136,1582.1600000000003
Technology,Phones,242,2051.9400000000005
