Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,293,7696.679999999999
Furniture,Chairs,284,1377.7099999999998
Furniture,Furnishings,268,785.8100000000001
Furniture,Tables,72,-1665.4700000000003
Office Supplies,Appliances,231,7954.299999999999
Office Supplies,Art,485,2358.83
Office Supplies,Binders,760,4573.68
Office Supplies,Envelopes,200,469.75
Office Supplies,Fasteners,245,546.41
Office Supplies,Labels,368,720.0600000000002
Office Supplies,Paper,353,1743.9200000000003
Office Supplies,Storage,556,3919.9299999999976
Office Supplies,Supplies,325,1325.42
Technology,Accessories,366,4739.8600000000015
Technology,Copiers,214,7322.209999999998
Technology,Machines,174,491.0200000000001
Technology,Phones,390,5755.209999999998
