Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,165,3405.0000000000005
Furniture,Chairs,235,2299.2899999999995
Furniture,Furnishings,230,1145.24
Furniture,Tables,66,97.6900000000004
Office Supplies,Appliances,69,691.3099999999998
Office Supplies,Art,330,739.4499999999998
Office Supplies,Binders,441,1871.8300000000004
Office Supplies,Envelopes,207,850.3799999999999
Office Supplies,Fasteners,205,375.49999999999983
Office Supplies,Labels,163,242.5900000000001
Office Supplies,Paper,236,332.2400000000002
Office Supplies,Storage,325,2115.1400000000003
Office Supplies,Supplies,186,796.1900000000003
Technology,Accessories,228,3724.6499999999987
Technology,Copiers,138,6871.999999999999
Technology,Machines,100,193.91000000000014
Technology,Phones,230,5270.049999999999
