Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,139,3990.8300000000004
Furniture,Chairs,254,4015.2000000000007
Furniture,Furnishings,216,655.84
Furniture,Tables,28,-805.0600000000002
Office Supplies,Appliances,85,2814.190000000001
Office Supplies,Art,280,1129.3899999999996
Office Supplies,Binders,338,-2.229999999999884
Office Supplies,Envelopes,114,724.7300000000002
Office Supplies,Fasteners,142,175.07999999999998
Office Supplies,Labels,143,179.84999999999997
Office Supplies,Paper,257,1273.8500000000001
Office Supplies,Storage,329,2990.22
Office Supplies,Supplies,190,1048.73
Technology,Accessories,201,1290.1899999999996
Technology,Copiers,142,4521.51
Technology,Machines,61,-23.680000000000163
Technology,Phones,240,2336.6699999999996
