Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,286,7393.100000000002
Furniture,Chairs,523,3184.0499999999993
Furniture,Furnishings,493,1320.1199999999994
Furniture,Tables,129,-1870.6500000000005
Office Supplies,Appliances,300,4711.1399999999985
Office Supplies,Art,657,1616.3900000000003
Office Supplies,Binders,874,1511.4300000000007
Office Supplies,Envelopes,329,677.2000000000005
Office Supplies,Fasteners,328,595.5699999999999
Office Supplies,Labels,331,278.69
Office Supplies,Paper,507,2877.789999999999
Office Supplies,Storage,608,2104.6599999999994
Office Supplies,Supplies,392,1260.6300000000008
Technology,Accessories,431,3300.39
Technology,Copiers,293,6367.4400000000005
Technology,Machines,194,2371.400000000002
Technology,Phones,429,10203.370000000004
