Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,129,48.80999999999986
Furniture,Chairs,128,-308.7299999999999
Furniture,Furnishings,131,133.23
Furniture,Tables,55,315.6900000000001
Office Supplies,Appliances,66,612.16
Office Supplies,Art,190,613.0799999999997
Office Supplies,Binders,233,1319.1699999999994
Office Supplies,Envelopes,103,2.970000000000005
Office Supplies,Fasteners,124,335.93999999999994
Office Supplies,Labels,86,411.9200000000001
Office Supplies,Paper,205,706.3999999999997
Office Supplies,Storage,246,1733.59
Office Supplies,Supplies,52,229.95
Technology,Accessories,126,2097.79
Technology,Copiers,102,3068.53
Technology,Machines,62,-43.31000000000001
Technology,Phones,169,2127.2899999999977
