Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,92,378.99000000000007
Furniture,Chairs,99,690.8500000000001
Furniture,Furnishings,159,236.17
Furniture,Tables,34,-1439.2
Office Supplies,Appliances,76,1996.6599999999994
Office Supplies,Art,159,99.21000000000004
Office Supplies,Binders,195,537.0900000000001
Office Supplies,Envelopes,63,326.23999999999995
Office Supplies,Fasteners,73,199.73999999999995
Office Supplies,Labels,63,81.67999999999999
Office Supplies,Paper,141,413.12999999999994
Office Supplies,Storage,204,2714.159999999999
Office Supplies,Supplies,105,11.740000000000002
Technology,Accessories,92,1143.28
Technology,Copiers,69,2396.43
Technology,Machines,69,128.04000000000008
Technology,Phones,116,1458.76
