Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,195,2020.58
Furniture,Chairs,186,1323.16
Furniture,Furnishings,251,1533.78
Furniture,Tables,62,-191.2199999999998
Office Supplies,Appliances,155,3093.340000000001
Office Supplies,Art,360,1213.96
Office Supplies,Binders,370,611.43
Office Supplies,Envelopes,117,184.2
Office Supplies,Fasteners,164,84.27000000000001
Office Supplies,Labels,190,683.3100000000001
Office Supplies,Paper,220,1112.65
Office Supplies,Storage,319,2458.3499999999995
Office Supplies,Supplies,189,472.37
Technology,Accessories,226,3232.6100000000006
Technology,Copiers,132,3796.7700000000004
Technology,Machines,110,2597.8800000000006
Technology,Phones,259,2368.84
