Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,45,1598.3699999999997
Furniture,Chairs,109,2768.4900000000002
Furniture,Furnishings,102,791.01
Furniture,Tables,20,362.18000000000006
Office Supplies,Appliances,36,-89.97000000000003
Office Supplies,Art,125,452.83
Office Supplies,Binders,145,284.90999999999997
Office Supplies,Envelopes,75,345.05999999999995
Office Supplies,Fasteners,72,248.53999999999996
Office Supplies,Labels,78,122.41999999999999
Office Supplies,Paper,89,262.46
Office Supplies,Storage,123,1006.7000000000003
Office Supplies,Supplies,59,119.84
Technology,Accessories,144,2246.67
Technology,Copiers,29,973.6000000000001
Technology,Machines,31,304.0
Technology,Phones,89,3352.03
