Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,95,1364.91
Furniture,Chairs,223,2582.06
Furniture,Furnishings,149,348.38000000000005
Furniture,Tables,29,-2372.48
Office Supplies,Appliances,90,3672.69
Office Supplies,Art,234,638.2199999999998
Office Supplies,Binders,341,219.19000000000005
Office Supplies,Envelopes,101,371.6700000000001
Office Supplies,Fasteners,123,177.44000000000005
Office Supplies,Labels,77,104.13000000000002
Office Supplies,Paper,184,839.2300000000001
Office Supplies,Storage,264,1733.9999999999993
Office Supplies,Supplies,144,27.319999999999993
Technology,Accessories,179,937.9400000000005
Technology,Copiers,102,3406.0599999999995
Technology,Machines,51,1906.56
Technology,Phones,161,1504.11
