Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,138,600.8399999999999
Furniture,Chairs,209,3312.4000000000005
Furniture,Furnishings,135,338.5400000000002
Furniture,Tables,47,-1831.8599999999997
Office Supplies,Appliances,68,2765.6500000000005
Office Supplies,Art,282,854.2399999999998
Office Supplies,Binders,311,1639.9999999999998
Office Supplies,Envelopes,152,893.89
Office Supplies,Fasteners,119,293.48
Office Supplies,Labels,150,235.73
Office Supplies,Paper,275,1836.270000000001
Office Supplies,Storage,258,1477.340000000001
Office Supplies,Supplies,122,414.49
Technology,Accessories,208,1148.6499999999999
Technology,Copiers,113,3081.5
Technology,Machines,78,1588.5800000000006
Technology,Phones,220,2229.7
