Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,220,3384.1000000000017
Furniture,Chairs,206,73.12999999999991
Furniture,Furnishings,220,1304.259999999999
Furniture,Tables,54,-1262.18
Office Supplies,Appliances,116,2023.5099999999982
Office Supplies,Art,294,1120.0300000000004
Office Supplies,Binders,469,1399.1600000000012
Office Supplies,Envelopes,153,205.21000000000004
Office Supplies,Fasteners,203,348.69000000000005
Office Supplies,Labels,214,363.58000000000015
Office Supplies,Paper,213,1125.8099999999997
Office Supplies,Storage,324,1464.1499999999996
Office Supplies,Supplies,142,660.8200000000003
Technology,Accessories,184,2243.270000000001
Technology,Copiers,136,2807.649999999999
Technology,Machines,91,1338.79
Technology,Phones,227,2780.119999999999
