Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,128,1655.490000000001
Furniture,Chairs,239,2910.9900000000007
Furniture,Furnishings,155,533.88
Furniture,Tables,43,-2181.56
Office Supplies,Appliances,120,2960.0299999999997
Office Supplies,Art,205,318.33
Office Supplies,Binders,283,1134.9900000000002
Office Supplies,Envelopes,154,697.06
Office Supplies,Fasteners,87,66.31
Office Supplies,Labels,126,85.71
Office Supplies,Paper,171,1018.0999999999999
Office Supplies,Storage,230,2554.4500000000007
Office Supplies,Supplies,134,-195.13999999999987
Technology,Accessories,166,2791.2900000000004
Technology,Copiers,108,2183.51
Technology,Machines,68,1094.7799999999995
Technology,Phones,164,2562.12
