Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,74,2469.63
Furniture,Chairs,149,1859.89
Furniture,Furnishings,167,841.6399999999998
Furniture,Tables,59,105.04000000000013
Office Supplies,Appliances,70,-68.99999999999997
Office Supplies,Art,177,900.2099999999999
Office Supplies,Binders,255,1114.0500000000002
Office Supplies,Envelopes,95,386.74
Office Supplies,Fasteners,85,116.92999999999999
Office Supplies,Labels,82,86.16
Office Supplies,Paper,129,1028.56
Office Supplies,Storage,222,1378.69
Office Supplies,Supplies,107,626.49
Technology,Accessories,106,1317.4800000000002
Technology,Copiers,103,3608.99
Technology,Machines,36,-529.9599999999999
Technology,Phones,112,665.6900000000002
