Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,92,378.99000000000007
Furniture,Chairs,99,690.85
Furniture,Furnishings,159,236.17
Furniture,Tables,34,-1439.2
Office Supplies,Appliances,76,1996.6599999999996
Office Supplies,Art,159,99.20999999999998
Office Supplies,Binders,195,537.0900000000001
Office Supplies,Envelopes,63,326.24
Office Supplies,Fasteners,73,199.74
Office Supplies,Labels,63,81.68
Office Supplies,Paper,141,413.12999999999994
Office Supplies,Storage,204,2714.1599999999994
Office Supplies,Supplies,105,11.740000000000002
Technology,Accessories,92,1143.28
Technology,Copiers,69,2396.43
Technology,Machines,69,128.03999999999996
Technology,Phones,116,1458.76
