Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,163,1432.1500000000005
Furniture,Chairs,159,2431.27
Furniture,Furnishings,130,411.76
Furniture,Tables,63,1123.91
Office Supplies,Appliances,71,2712.4600000000005
Office Supplies,Art,204,774.8000000000003
Office Supplies,Binders,281,1429.5000000000005
Office Supplies,Envelopes,107,326.7900000000001
Office Supplies,Fasteners,77,47.519999999999996
Office Supplies,Labels,115,223.71999999999997
Office Supplies,Paper,153,858.4
Office Supplies,Storage,250,1588.3000000000002
Office Supplies,Supplies,97,246.10999999999999
Technology,Accessories,117,1209.8799999999997
Technology,Copiers,99,1177.8600000000001
Technology,Machines,42,614.3700000000001
Technology,Phones,143,2759.850000000001
