Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,191,3518.1800000000007
Furniture,Chairs,233,2029.04
Furniture,Furnishings,227,1969.7800000000002
Furniture,Tables,69,1444.0800000000002
Office Supplies,Appliances,166,2884.5800000000004
Office Supplies,Art,328,1154.8699999999997
Office Supplies,Binders,382,1134.6100000000004
Office Supplies,Envelopes,150,593.78
Office Supplies,Fasteners,201,428.92
Office Supplies,Labels,204,322.37000000000006
Office Supplies,Paper,228,544.1800000000003
Office Supplies,Storage,380,1878.7000000000007
Office Supplies,Supplies,149,864.91
Technology,Accessories,181,1236.85
Technology,Copiers,112,3790.919999999999
Technology,Machines,89,-1959.0800000000004
Technology,Phones,141,3450.67
