Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,181,4698.119999999999
Furniture,Chairs,301,3096.0899999999992
Furniture,Furnishings,224,1296.12
Furniture,Tables,67,-2794.99
Office Supplies,Appliances,158,3844.209999999999
Office Supplies,Art,223,576.5100000000001
Office Supplies,Binders,462,2929.3700000000003
Office Supplies,Envelopes,213,628.8199999999999
Office Supplies,Fasteners,142,73.49
Office Supplies,Labels,227,391.33000000000004
Office Supplies,Paper,345,2309.4500000000003
Office Supplies,Storage,315,1858.31
Office Supplies,Supplies,179,6.429999999999893
Technology,Accessories,193,2513.6400000000003
Technology,Copiers,132,4730.760000000001
Technology,Machines,131,1568.2800000000007
Technology,Phones,288,3056.17
