Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,138,2272.43
Furniture,Chairs,233,1899.8500000000001
Furniture,Furnishings,195,-276.44999999999993
Furniture,Tables,89,-2462.6500000000005
Office Supplies,Appliances,134,2274.64
Office Supplies,Art,273,1195.8400000000008
Office Supplies,Binders,296,280.37000000000006
Office Supplies,Envelopes,100,631.43
Office Supplies,Fasteners,141,330.21000000000004
Office Supplies,Labels,142,424.46
Office Supplies,Paper,176,856.2399999999998
Office Supplies,Storage,239,12.520000000000081
Office Supplies,Supplies,199,767.8700000000003
Technology,Accessories,173,1362.5300000000002
Technology,Copiers,103,2824.090000000001
Technology,Machines,82,171.74999999999997
Technology,Phones,207,5056.919999999998
