Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,295,3156.129999999999
Furniture,Chairs,481,6832.2
Furniture,Furnishings,483,1010.2400000000002
Furniture,Tables,133,-1869.9400000000003
Office Supplies,Appliances,265,7248.78
Office Supplies,Art,696,2716.9300000000003
Office Supplies,Binders,853,3416.150000000001
Office Supplies,Envelopes,306,963.9600000000002
Office Supplies,Fasteners,430,647.0699999999999
Office Supplies,Labels,369,346.64000000000004
Office Supplies,Paper,495,2213.56
Office Supplies,Storage,772,4329.59
Office Supplies,Supplies,290,827.47
Technology,Accessories,479,6362.720000000002
Technology,Copiers,278,11038.339999999995
Technology,Machines,200,1631.8700000000008
Technology,Phones,525,9094.180000000002
