Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,297,3435.290000000002
Furniture,Chairs,408,5727.1
Furniture,Furnishings,269,1561.67
Furniture,Tables,128,-2996.41
Office Supplies,Appliances,175,4286.27
Office Supplies,Art,402,1395.2000000000003
Office Supplies,Binders,693,1968.4799999999998
Office Supplies,Envelopes,242,1195.24
Office Supplies,Fasteners,295,367.13000000000005
Office Supplies,Labels,328,369.90999999999997
Office Supplies,Paper,409,1798.4900000000002
Office Supplies,Storage,488,4209.37
Office Supplies,Supplies,253,529.7
Technology,Accessories,257,1768.120000000001
Technology,Copiers,303,8559.169999999998
Technology,Machines,199,3141.0300000000007
Technology,Phones,368,6959.37
