Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,195,2020.5800000000002
Furniture,Chairs,186,1323.16
Furniture,Furnishings,251,1533.7799999999995
Furniture,Tables,62,-191.2199999999998
Office Supplies,Appliances,155,3093.3400000000015
Office Supplies,Art,360,1213.9599999999996
Office Supplies,Binders,370,611.4299999999998
Office Supplies,Envelopes,117,184.2
Office Supplies,Fasteners,164,84.27000000000001
Office Supplies,Labels,190,683.3099999999998
Office Supplies,Paper,220,1112.6500000000003
Office Supplies,Storage,319,2458.35
Office Supplies,Supplies,189,472.3700000000001
Technology,Accessories,226,3232.6099999999988
Technology,Copiers,132,3796.7700000000004
Technology,Machines,110,2597.88
Technology,Phones,259,2368.8399999999992
