Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,196,1898.8699999999985
Furniture,Chairs,162,4167.6900000000005
Furniture,Furnishings,214,958.2299999999998
Furniture,Tables,54,-799.8900000000002
Office Supplies,Appliances,169,5175.840000000002
Office Supplies,Art,383,1444.3299999999997
Office Supplies,Binders,417,2258.2000000000003
Office Supplies,Envelopes,124,341.6499999999999
Office Supplies,Fasteners,205,434.1000000000001
Office Supplies,Labels,191,361.11000000000007
Office Supplies,Paper,258,1033.94
Office Supplies,Storage,427,1984.4499999999998
Office Supplies,Supplies,160,293.71999999999997
Technology,Accessories,265,2783.9400000000023
Technology,Copiers,182,6377.129999999999
Technology,Machines,98,2391.0699999999997
Technology,Phones,248,6568.32
