Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,184,4224.799999999999
Furniture,Chairs,348,5304.63
Furniture,Furnishings,277,919.3900000000003
Furniture,Tables,95,-1137.6299999999999
Office Supplies,Appliances,118,241.95
Office Supplies,Art,345,1694.8299999999992
Office Supplies,Binders,491,420.21000000000026
Office Supplies,Envelopes,140,452.5100000000001
Office Supplies,Fasteners,157,208.68000000000004
Office Supplies,Labels,220,462.44
Office Supplies,Paper,281,1247.5899999999997
Office Supplies,Storage,368,2836.0000000000005
Office Supplies,Supplies,192,626.3799999999999
Technology,Accessories,260,1414.54
Technology,Copiers,146,5547.859999999998
Technology,Machines,135,219.45
Technology,Phones,306,3123.0299999999984
