Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,293,7696.679999999999
Furniture,Chairs,284,1377.71
Furniture,Furnishings,268,785.81
Furniture,Tables,72,-1665.4700000000003
Office Supplies,Appliances,231,7954.3
Office Supplies,Art,485,2358.8300000000004
Office Supplies,Binders,760,4573.679999999998
Office Supplies,Envelopes,200,469.7499999999999
Office Supplies,Fasteners,245,546.4100000000002
Office Supplies,Labels,368,720.0600000000003
Office Supplies,Paper,353,1743.92
Office Supplies,Storage,556,3919.9299999999976
Office Supplies,Supplies,325,1325.4200000000005
Technology,Accessories,366,4739.86
Technology,Copiers,214,7322.209999999998
Technology,Machines,174,491.0200000000002
Technology,Phones,390,5755.209999999999
