Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,40,88.99000000000001
Furniture,Chairs,122,1167.4500000000003
Furniture,Furnishings,120,591.8000000000002
Furniture,Tables,26,-110.09999999999998
Office Supplies,Appliances,78,2413.3299999999995
Office Supplies,Art,253,869.1299999999998
Office Supplies,Binders,228,124.02000000000004
Office Supplies,Envelopes,103,527.7900000000001
Office Supplies,Fasteners,87,249.6
Office Supplies,Labels,87,177.57
Office Supplies,Paper,135,647.29
Office Supplies,Storage,179,449.40000000000003
Office Supplies,Supplies,72,124.27000000000001
Technology,Accessories,114,499.58000000000004
Technology,Copiers,46,67.17000000000002
Technology,Machines,30,138.85
Technology,Phones,171,3195.5700000000006
