Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,322,8791.17
Furniture,Chairs,476,5515.880000000001
Furniture,Furnishings,425,2105.0999999999995
Furniture,Tables,95,79.84000000000049
Office Supplies,Appliances,156,582.89
Office Supplies,Art,651,3134.82
Office Supplies,Binders,858,4844.670000000001
Office Supplies,Envelopes,270,737.03
Office Supplies,Fasteners,329,317.1700000000001
Office Supplies,Labels,339,575.6000000000001
Office Supplies,Paper,477,2864.4000000000005
Office Supplies,Storage,617,5067.5700000000015
Office Supplies,Supplies,318,959.22
Technology,Accessories,448,6835.889999999999
Technology,Copiers,332,11712.70999999999
Technology,Machines,168,2618.7400000000007
Technology,Phones,328,4169.96
