Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,78,3245.889999999998
Furniture,Chairs,206,2707.6300000000006
Furniture,Furnishings,190,1544.039999999999
Furniture,Tables,55,-495.4
Office Supplies,Appliances,96,2134.0800000000004
Office Supplies,Art,302,1519.7300000000002
Office Supplies,Binders,383,1274.829999999999
Office Supplies,Envelopes,146,623.2000000000002
Office Supplies,Fasteners,152,89.01000000000002
Office Supplies,Labels,149,240.99999999999997
Office Supplies,Paper,185,906.0999999999999
Office Supplies,Storage,323,2443.4899999999993
Office Supplies,Supplies,112,505.8199999999998
Technology,Accessories,173,1759.26
Technology,Copiers,141,2973.91
Technology,Machines,118,2285.8599999999997
Technology,Phones,186,3600.4800000000005
