Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,70,1119.1500000000003
Furniture,Chairs,110,937.0100000000002
Furniture,Furnishings,90,103.10999999999997
Furniture,Tables,24,-1150.8899999999999
Office Supplies,Appliances,60,961.7100000000004
Office Supplies,Art,161,299.56999999999994
Office Supplies,Binders,212,797.7399999999999
Office Supplies,Envelopes,52,293.28
Office Supplies,Fasteners,113,145.12000000000003
Office Supplies,Labels,116,190.21
Office Supplies,Paper,127,601.2199999999999
Office Supplies,Storage,151,947.03
Office Supplies,Supplies,55,244.83
Technology,Accessories,73,565.57
Technology,Copiers,64,195.8000000000001
Technology,Machines,42,975.8000000000002
Technology,Phones,112,2468.07
