Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,191,3776.3500000000004
Furniture,Chairs,308,2019.9899999999993
Furniture,Furnishings,237,1323.1399999999999
Furniture,Tables,92,-2264.01
Office Supplies,Appliances,135,1591.8200000000002
Office Supplies,Art,454,1869.9200000000005
Office Supplies,Binders,589,1499.6399999999994
Office Supplies,Envelopes,276,1067.3700000000003
Office Supplies,Fasteners,297,591.3399999999996
Office Supplies,Labels,267,365.72999999999985
Office Supplies,Paper,344,1335.2199999999998
Office Supplies,Storage,372,831.1100000000001
Office Supplies,Supplies,221,691.9199999999998
Technology,Accessories,250,2298.8399999999983
Technology,Copiers,190,5642.9199999999955
Technology,Machines,123,3033.6
Technology,Phones,295,2908.0899999999992
