Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,196,4097.520000000003
Furniture,Chairs,268,3495.1100000000006
Furniture,Furnishings,252,1322.9600000000003
Furniture,Tables,53,1294.96
Office Supplies,Appliances,101,306.91999999999996
Office Supplies,Art,383,1484.2700000000004
Office Supplies,Binders,571,-4.850000000000023
Office Supplies,Envelopes,230,1101.3200000000002
Office Supplies,Fasteners,147,391.66
Office Supplies,Labels,188,193.16999999999996
Office Supplies,Paper,279,974.8300000000004
Office Supplies,Storage,307,2019.0
Office Supplies,Supplies,198,427.1200000000001
Technology,Accessories,241,3342.54
Technology,Copiers,170,2318.5799999999995
Technology,Machines,132,186.18999999999988
Technology,Phones,315,4992.13
