Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,264,2445.130000000001
Furniture,Chairs,353,4520.35
Furniture,Furnishings,397,2565.9200000000005
Furniture,Tables,139,-1106.7299999999996
Office Supplies,Appliances,150,3959.0799999999995
Office Supplies,Art,425,1720.9699999999993
Office Supplies,Binders,663,3045.289999999999
Office Supplies,Envelopes,252,1081.3899999999999
Office Supplies,Fasteners,302,542.7100000000002
Office Supplies,Labels,213,233.43999999999994
Office Supplies,Paper,392,1171.0400000000002
Office Supplies,Storage,570,6221.650000000008
Office Supplies,Supplies,214,245.41000000000014
Technology,Accessories,372,2599.1299999999997
Technology,Copiers,213,6130.580000000001
Technology,Machines,157,1605.9900000000005
Technology,Phones,342,2584.1800000000003
