Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,325,2309.9999999999986
Furniture,Chairs,382,7030.129999999997
Furniture,Furnishings,367,1435.3400000000004
Furniture,Tables,61,-618.72
Office Supplies,Appliances,194,2600.18
Office Supplies,Art,532,1709.9199999999998
Office Supplies,Binders,666,543.2200000000009
Office Supplies,Envelopes,316,1348.1200000000001
Office Supplies,Fasteners,258,260.36
Office Supplies,Labels,300,535.9500000000002
Office Supplies,Paper,425,1639.83
Office Supplies,Storage,509,3511.1499999999987
Office Supplies,Supplies,247,401.00999999999993
Technology,Accessories,326,6108.770000000001
Technology,Copiers,195,8055.749999999998
Technology,Machines,74,1752.3300000000002
Technology,Phones,409,3504.489999999998
