Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,131,3290.190000000001
Furniture,Chairs,249,4636.94
Furniture,Furnishings,182,848.4299999999997
Furniture,Tables,48,177.9799999999999
Office Supplies,Appliances,86,1500.5599999999997
Office Supplies,Art,227,1066.3900000000003
Office Supplies,Binders,287,348.17999999999995
Office Supplies,Envelopes,115,-26.400000000000002
Office Supplies,Fasteners,136,175.4099999999999
Office Supplies,Labels,142,259.8300000000001
Office Supplies,Paper,182,705.1600000000001
Office Supplies,Storage,359,1176.3700000000001
Office Supplies,Supplies,132,161.85999999999999
Technology,Accessories,127,1666.68
Technology,Copiers,132,5345.850000000002
Technology,Machines,86,893.4500000000002
Technology,Phones,194,3646.84
