Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,295,3156.1299999999987
Furniture,Chairs,481,6832.200000000001
Furniture,Furnishings,483,1010.2400000000001
Furniture,Tables,133,-1869.9400000000003
Office Supplies,Appliances,265,7248.78
Office Supplies,Art,696,2716.93
Office Supplies,Binders,853,3416.15
Office Supplies,Envelopes,306,963.96
Office Supplies,Fasteners,430,647.0699999999995
Office Supplies,Labels,369,346.64000000000004
Office Supplies,Paper,495,2213.56
Office Supplies,Storage,772,4329.589999999998
Office Supplies,Supplies,290,827.4699999999998
Technology,Accessories,479,6362.72
Technology,Copiers,278,11038.339999999995
Technology,Machines,200,1631.8700000000003
Technology,Phones,525,9094.179999999998
