Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,297,3435.290000000002
Furniture,Chairs,408,5727.100000000001
Furniture,Furnishings,269,1561.67
Furniture,Tables,128,-2996.4099999999994
Office Supplies,Appliances,175,4286.2699999999995
Office Supplies,Art,402,1395.2000000000003
Office Supplies,Binders,693,1968.4800000000002
Office Supplies,Envelopes,242,1195.2399999999993
Office Supplies,Fasteners,295,367.13000000000017
Office Supplies,Labels,328,369.90999999999985
Office Supplies,Paper,409,1798.4899999999996
Office Supplies,Storage,488,4209.369999999998
Office Supplies,Supplies,253,529.7
Technology,Accessories,257,1768.120000000001
Technology,Copiers,303,8559.17
Technology,Machines,199,3141.0300000000007
Technology,Phones,368,6959.37
