Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,65,312.46999999999997
Furniture,Chairs,108,131.74000000000004
Furniture,Furnishings,115,76.89999999999998
Furniture,Tables,23,529.89
Office Supplies,Appliances,29,840.33
Office Supplies,Art,158,443.59
Office Supplies,Binders,256,518.9899999999999
Office Supplies,Envelopes,89,434.99999999999994
Office Supplies,Fasteners,90,169.43
Office Supplies,Labels,103,222.26
Office Supplies,Paper,116,424.97999999999996
Office Supplies,Storage,176,766.6500000000001
Office Supplies,Supplies,77,393.72999999999996
Technology,Accessories,125,856.7300000000002
Technology,Copiers,68,364.2399999999999
Technology,Machines,49,317.0799999999999
Technology,Phones,116,2174.3399999999997
