Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,165,3405.0000000000005
Furniture,Chairs,235,2299.29
Furniture,Furnishings,230,1145.24
Furniture,Tables,66,97.6900000000004
Office Supplies,Appliances,69,691.3099999999997
Office Supplies,Art,330,739.45
Office Supplies,Binders,441,1871.83
Office Supplies,Envelopes,207,850.3799999999999
Office Supplies,Fasteners,205,375.50000000000006
Office Supplies,Labels,163,242.59000000000003
Office Supplies,Paper,236,332.2400000000001
Office Supplies,Storage,325,2115.14
Office Supplies,Supplies,186,796.19
Technology,Accessories,228,3724.649999999999
Technology,Copiers,138,6871.999999999999
Technology,Machines,100,193.9100000000001
Technology,Phones,230,5270.049999999998
