Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,139,3990.8300000000004
Furniture,Chairs,254,4015.2000000000007
Furniture,Furnishings,216,655.8399999999999
Furniture,Tables,28,-805.0600000000002
Office Supplies,Appliances,85,2814.190000000001
Office Supplies,Art,280,1129.3899999999999
Office Supplies,Binders,338,-2.2299999999995634
Office Supplies,Envelopes,114,724.73
Office Supplies,Fasteners,142,175.08000000000004
Office Supplies,Labels,143,179.85000000000002
Office Supplies,Paper,257,1273.8500000000001
Office Supplies,Storage,329,2990.22
Office Supplies,Supplies,190,1048.7300000000002
Technology,Accessories,201,1290.19
Technology,Copiers,142,4521.51
Technology,Machines,61,-23.680000000000163
Technology,Phones,240,2336.6699999999996
