Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,42,1815.8700000000001
Furniture,Chairs,92,870.2400000000004
Furniture,Furnishings,104,742.3999999999999
Furniture,Tables,24,-1544.3999999999996
Office Supplies,Appliances,52,-284.61
Office Supplies,Art,115,462.52000000000004
Office Supplies,Binders,159,427.05
Office Supplies,Envelopes,39,108.85
Office Supplies,Fasteners,89,245.41000000000003
Office Supplies,Labels,52,47.499999999999986
Office Supplies,Paper,80,92.93
Office Supplies,Storage,115,1241.739999999999
Office Supplies,Supplies,56,275.17999999999995
Technology,Accessories,68,845.48
Technology,Copiers,62,956.9099999999997
Technology,Machines,58,999.8499999999997
Technology,Phones,125,1972.6799999999996
