Category,Sub-Category,Total Quantity Sold,Total Profit
Furniture,Bookcases,93,1512.8399999999997
Furniture,Chairs,206,1268.499999999999
Furniture,Furnishings,120,416.78
Furniture,Tables,20,-445.76
Office Supplies,Appliances,54,2340.0499999999997
Office Supplies,Art,166,640.9699999999998
Office Supplies,Binders,243,532.06
Office Supplies,Envelopes,165,206.45999999999995
Office Supplies,Fasteners,105,99.25
Office Supplies,Labels,60,224.82999999999998
Office Supplies,Paper,171,705.7500000000001
Office Supplies,Storage,257,1144.8299999999995
Office Supplies,Supplies,89,115.72999999999999
Technology,Accessories,136,2599.5499999999993
Technology,Copiers,74,443.9799999999999
Technology,Machines,46,2141.71
Technology,Phones,160,866.9300000000001
